transaction_id,account_code,dept_code,month,budget_amount
1,4000,BT,1/1/25,1150656
2,4000,BT,2/1/25,1267946
3,4000,BT,3/1/25,1209755
4,4000,BT,4/1/25,987768
5,4000,BT,5/1/25,1994603
6,4000,BT,6/1/25,1193852
7,4000,BT,7/1/25,1347795
8,4000,BT,8/1/25,964883
9,4000,BT,9/1/25,1173411
10,4000,BT,10/1/25,1116908
11,4000,BT,11/1/25,2395242
12,4000,BT,12/1/25,1958466
13,5000,BT,1/1/25,717843
14,5000,BT,2/1/25,766402
15,5000,BT,3/1/25,712628
16,5000,BT,4/1/25,593537
17,5000,BT,5/1/25,1206079
18,5000,BT,6/1/25,741605
19,5000,BT,7/1/25,855566
20,5000,BT,8/1/25,589493
21,5000,BT,9/1/25,719997
22,5000,BT,10/1/25,692264
23,5000,BT,11/1/25,1375259
24,5000,BT,12/1/25,1153321
25,6101,BT,1/1/25,100000
26,6101,BT,2/1/25,100000
27,6101,BT,3/1/25,100000
28,6101,BT,4/1/25,100000
29,6101,BT,5/1/25,100000
30,6101,BT,6/1/25,100000
31,6101,BT,7/1/25,130000
32,6101,BT,8/1/25,130000
33,6101,BT,9/1/25,130000
34,6101,BT,10/1/25,130000
35,6101,BT,11/1/25,130000
36,6101,BT,12/1/25,130000
37,6102,BT,1/1/25,20000
38,6102,BT,2/1/25,20000
39,6102,BT,3/1/25,20000
40,6102,BT,4/1/25,20000
41,6102,BT,5/1/25,20000
42,6102,BT,6/1/25,20000
43,6102,BT,7/1/25,22000
44,6102,BT,8/1/25,22000
45,6102,BT,9/1/25,22000
46,6102,BT,10/1/25,22000
47,6102,BT,11/1/25,22000
48,6102,BT,12/1/25,22000
49,6103,BT,1/1/25,12800
50,6103,BT,2/1/25,12800
51,6103,BT,3/1/25,12800
52,6103,BT,4/1/25,12800
53,6103,BT,5/1/25,12800
54,6103,BT,6/1/25,12800
55,6103,BT,7/1/25,14500
56,6103,BT,8/1/25,14500
57,6103,BT,9/1/25,14500
58,6103,BT,10/1/25,14500
59,6103,BT,11/1/25,14500
60,6103,BT,12/1/25,14500
61,6104,BT,1/1/25,26500
62,6104,BT,2/1/25,26500
63,6104,BT,3/1/25,26500
64,6104,BT,4/1/25,26500
