"month","dept_code","account_category","account_category_sub","amount_type","amount"
"2025-01-01","BT","COGS","COGS","Actual","734561.00"
"2025-01-01","BT","COGS","COGS","Budget","717843.00"
"2025-01-01","BT","OpEX","Administrative expense","Actual","4394.00"
"2025-01-01","BT","OpEX","Administrative expense","Budget","3753.00"
"2025-01-01","BT","OpEX","Freight expense","Actual","47165.00"
"2025-01-01","BT","OpEX","Freight expense","Budget","40282.00"
"2025-01-01","BT","OpEX","Marketing expense","Actual","58686.00"
"2025-01-01","BT","OpEX","Marketing expense","Budget","50123.00"
"2025-01-01","BT","OpEX","Personnel Expense","Actual","223999.00"
"2025-01-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-01-01","BT","Revenue","Revenue","Actual","1242282.00"
"2025-01-01","BT","Revenue","Revenue","Budget","1150656.00"
"2025-01-01","FB","COGS","COGS","Actual","216208.00"
"2025-01-01","FB","COGS","COGS","Budget","209477.00"
"2025-01-01","FB","OpEX","Administrative expense","Actual","7550.00"
"2025-01-01","FB","OpEX","Administrative expense","Budget","7085.00"
"2025-01-01","FB","OpEX","Freight expense","Actual","12240.00"
"2025-01-01","FB","OpEX","Freight expense","Budget","11486.00"
"2025-01-01","FB","OpEX","Marketing expense","Actual","9532.00"
"2025-01-01","FB","OpEX","Marketing expense","Budget","8945.00"
"2025-01-01","FB","OpEX","Personnel Expense","Actual","16719.00"
"2025-01-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-01-01","FB","OpEX","R&D","Actual","1256.00"
"2025-01-01","FB","OpEX","R&D","Budget","1179.00"
"2025-01-01","FB","Revenue","Revenue","Actual","296158.00"
"2025-01-01","FB","Revenue","Revenue","Budget","272085.00"
"2025-01-01","GA","OpEX","Administrative expense","Actual","86537.00"
"2025-01-01","GA","OpEX","Administrative expense","Budget","85875.00"
"2025-01-01","GA","OpEX","Personnel Expense","Actual","142113.00"
"2025-01-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-01-01","HP","COGS","COGS","Actual","352428.00"
"2025-01-01","HP","COGS","COGS","Budget","369519.00"
"2025-01-01","HP","OpEX","Administrative expense","Actual","2612.00"
"2025-01-01","HP","OpEX","Administrative expense","Budget","1782.00"
"2025-01-01","HP","OpEX","Freight expense","Actual","4800.00"
"2025-01-01","HP","OpEX","Freight expense","Budget","3274.00"
"2025-01-01","HP","OpEX","Marketing expense","Actual","6233.00"
"2025-01-01","HP","OpEX","Marketing expense","Budget","4252.00"
"2025-01-01","HP","OpEX","Personnel Expense","Actual","114210.00"
"2025-01-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-01-01","HP","OpEX","R&D","Actual","1485.00"
"2025-01-01","HP","OpEX","R&D","Budget","1013.00"
"2025-01-01","HP","Revenue","Revenue","Actual","503112.00"
"2025-01-01","HP","Revenue","Revenue","Budget","502885.00"
"2025-01-01","HW","COGS","COGS","Actual","431429.00"
"2025-01-01","HW","COGS","COGS","Budget","463332.00"
"2025-01-01","HW","OpEX","Administrative expense","Actual","14582.00"
"2025-01-01","HW","OpEX","Administrative expense","Budget","15637.00"
"2025-01-01","HW","OpEX","Freight expense","Actual","25888.00"
"2025-01-01","HW","OpEX","Freight expense","Budget","27761.00"
"2025-01-01","HW","OpEX","Marketing expense","Actual","34783.00"
"2025-01-01","HW","OpEX","Marketing expense","Budget","37300.00"
"2025-01-01","HW","OpEX","Personnel Expense","Actual","95132.00"
"2025-01-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-01-01","HW","OpEX","R&D","Actual","7932.00"
"2025-01-01","HW","OpEX","R&D","Budget","8506.00"
"2025-01-01","HW","Revenue","Revenue","Actual","695639.00"
"2025-01-01","HW","Revenue","Revenue","Budget","736710.00"
"2025-02-01","BT","COGS","COGS","Actual","766395.00"
"2025-02-01","BT","COGS","COGS","Budget","766402.00"
"2025-02-01","BT","OpEX","Administrative expense","Actual","2632.00"
"2025-02-01","BT","OpEX","Administrative expense","Budget","3008.00"
"2025-02-01","BT","OpEX","Freight expense","Actual","49068.00"
"2025-02-01","BT","OpEX","Freight expense","Budget","56080.00"
"2025-02-01","BT","OpEX","Marketing expense","Actual","57736.00"
"2025-02-01","BT","OpEX","Marketing expense","Budget","65986.00"
"2025-02-01","BT","OpEX","Personnel Expense","Actual","221334.00"
"2025-02-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-02-01","BT","Revenue","Revenue","Actual","1285897.00"
"2025-02-01","BT","Revenue","Revenue","Budget","1267946.00"
"2025-02-01","FB","COGS","COGS","Actual","222781.00"
"2025-02-01","FB","COGS","COGS","Budget","178556.00"
"2025-02-01","FB","OpEX","Administrative expense","Actual","5735.00"
"2025-02-01","FB","OpEX","Administrative expense","Budget","4658.00"
"2025-02-01","FB","OpEX","Freight expense","Actual","10536.00"
"2025-02-01","FB","OpEX","Freight expense","Budget","8557.00"
"2025-02-01","FB","OpEX","Marketing expense","Actual","9413.00"
"2025-02-01","FB","OpEX","Marketing expense","Budget","7645.00"
"2025-02-01","FB","OpEX","Personnel Expense","Actual","16543.00"
"2025-02-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-02-01","FB","OpEX","R&D","Actual","1304.00"
"2025-02-01","FB","OpEX","R&D","Budget","1059.00"
"2025-02-01","FB","Revenue","Revenue","Actual","289341.00"
"2025-02-01","FB","Revenue","Revenue","Budget","225679.00"
"2025-02-01","GA","OpEX","Administrative expense","Actual","86822.00"
"2025-02-01","GA","OpEX","Administrative expense","Budget","85875.00"
"2025-02-01","GA","OpEX","Personnel Expense","Actual","137410.00"
"2025-02-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-02-01","HP","COGS","COGS","Actual","336633.00"
"2025-02-01","HP","COGS","COGS","Budget","354079.00"
"2025-02-01","HP","OpEX","Administrative expense","Actual","2540.00"
"2025-02-01","HP","OpEX","Administrative expense","Budget","1768.00"
"2025-02-01","HP","OpEX","Freight expense","Actual","4655.00"
"2025-02-01","HP","OpEX","Freight expense","Budget","3240.00"
"2025-02-01","HP","OpEX","Marketing expense","Actual","6279.00"
"2025-02-01","HP","OpEX","Marketing expense","Budget","4371.00"
"2025-02-01","HP","OpEX","Personnel Expense","Actual","112690.00"
"2025-02-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-02-01","HP","OpEX","R&D","Actual","1504.00"
"2025-02-01","HP","OpEX","R&D","Budget","1047.00"
"2025-02-01","HP","Revenue","Revenue","Actual","490545.00"
"2025-02-01","HP","Revenue","Revenue","Budget","489413.00"
"2025-02-01","HW","COGS","COGS","Actual","587442.00"
"2025-02-01","HW","COGS","COGS","Budget","476004.00"
"2025-02-01","HW","OpEX","Administrative expense","Actual","14539.00"
"2025-02-01","HW","OpEX","Administrative expense","Budget","13602.00"
"2025-02-01","HW","OpEX","Freight expense","Actual","25996.00"
"2025-02-01","HW","OpEX","Freight expense","Budget","24320.00"
"2025-02-01","HW","OpEX","Marketing expense","Actual","34131.00"
"2025-02-01","HW","OpEX","Marketing expense","Budget","31929.00"
"2025-02-01","HW","OpEX","Personnel Expense","Actual","100084.00"
"2025-02-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-02-01","HW","OpEX","R&D","Actual","8417.00"
"2025-02-01","HW","OpEX","R&D","Budget","7874.00"
"2025-02-01","HW","Revenue","Revenue","Actual","978553.00"
"2025-02-01","HW","Revenue","Revenue","Budget","729777.00"
"2025-03-01","BT","COGS","COGS","Actual","639421.00"
"2025-03-01","BT","COGS","COGS","Budget","712628.00"
"2025-03-01","BT","OpEX","Administrative expense","Actual","3033.00"
"2025-03-01","BT","OpEX","Administrative expense","Budget","2865.00"
"2025-03-01","BT","OpEX","Freight expense","Actual","51963.00"
"2025-03-01","BT","OpEX","Freight expense","Budget","49090.00"
"2025-03-01","BT","OpEX","Marketing expense","Actual","70627.00"
"2025-03-01","BT","OpEX","Marketing expense","Budget","66723.00"
"2025-03-01","BT","OpEX","Personnel Expense","Actual","224013.00"
"2025-03-01","BT","OpEX","Personnel Expense","Budget","214300.00"
"2025-03-01","BT","Revenue","Revenue","Actual","1072135.00"
"2025-03-01","BT","Revenue","Revenue","Budget","1209755.00"
"2025-03-01","FB","COGS","COGS","Actual","219993.00"
"2025-03-01","FB","COGS","COGS","Budget","181318.00"
"2025-03-01","FB","OpEX","Administrative expense","Actual","5877.00"
"2025-03-01","FB","OpEX","Administrative expense","Budget","6215.00"
"2025-03-01","FB","OpEX","Freight expense","Actual","11086.00"
"2025-03-01","FB","OpEX","Freight expense","Budget","11723.00"
"2025-03-01","FB","OpEX","Marketing expense","Actual","10265.00"
"2025-03-01","FB","OpEX","Marketing expense","Budget","10854.00"
"2025-03-01","FB","OpEX","Personnel Expense","Actual","17453.00"
"2025-03-01","FB","OpEX","Personnel Expense","Budget","15650.00"
"2025-03-01","FB","OpEX","R&D","Actual","1334.00"
"2025-03-01","FB","OpEX","R&D","Budget","1411.00"
"2025-03-01","FB","Revenue","Revenue","Actual","297224.00"
"2025-03-01","FB","Revenue","Revenue","Budget","240792.00"
"2025-03-01","GA","OpEX","Administrative expense","Actual","87025.00"
"2025-03-01","GA","OpEX","Administrative expense","Budget","85875.00"
"2025-03-01","GA","OpEX","Personnel Expense","Actual","141389.00"
"2025-03-01","GA","OpEX","Personnel Expense","Budget","138000.00"
"2025-03-01","HP","COGS","COGS","Actual","359826.00"
"2025-03-01","HP","COGS","COGS","Budget","379537.00"
"2025-03-01","HP","OpEX","Administrative expense","Actual","2758.00"
"2025-03-01","HP","OpEX","Administrative expense","Budget","1977.00"
"2025-03-01","HP","OpEX","Freight expense","Actual","5021.00"
"2025-03-01","HP","OpEX","Freight expense","Budget","3599.00"
"2025-03-01","HP","OpEX","Marketing expense","Actual","6821.00"
"2025-03-01","HP","OpEX","Marketing expense","Budget","4890.00"
"2025-03-01","HP","OpEX","Personnel Expense","Actual","118078.00"
"2025-03-01","HP","OpEX","Personnel Expense","Budget","98200.00"
"2025-03-01","HP","OpEX","R&D","Actual","1448.00"
"2025-03-01","HP","OpEX","R&D","Budget","1038.00"
"2025-03-01","HP","Revenue","Revenue","Actual","521925.00"
"2025-03-01","HP","Revenue","Revenue","Budget","525781.00"
"2025-03-01","HW","COGS","COGS","Actual","483520.00"
"2025-03-01","HW","COGS","COGS","Budget","455543.00"
"2025-03-01","HW","OpEX","Administrative expense","Actual","14837.00"
"2025-03-01","HW","OpEX","Administrative expense","Budget","16546.00"
"2025-03-01","HW","OpEX","Freight expense","Actual","26930.00"
"2025-03-01","HW","OpEX","Freight expense","Budget","30032.00"
"2025-03-01","HW","OpEX","Marketing expense","Actual","37668.00"
"2025-03-01","HW","OpEX","Marketing expense","Budget","42007.00"
"2025-03-01","HW","OpEX","Personnel Expense","Actual","98460.00"
"2025-03-01","HW","OpEX","Personnel Expense","Budget","92500.00"
"2025-03-01","HW","OpEX","R&D","Actual","8619.00"
"2025-03-01","HW","OpEX","R&D","Budget","9612.00"
"2025-03-01","HW","Revenue","Revenue","Actual","786521.00"
"2025-03-01","HW","Revenue","Revenue","Budget","750742.00"
"2025-04-01","BT","COGS","COGS","Actual","498093.00"
"2025-04-01","BT","COGS","COGS","Budget","593537.00"
